2022-09-08 15:25:11  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:13  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:15  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:18  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:20  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:22  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:24  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:26  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:28  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:24:59, started = 33.370000, vol = 416672
2022-09-08 15:25:30  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:33  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:35  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:37  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:40  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:42  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:44  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:46  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:48  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:51  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:53  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:55  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:25:58  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:29, started = 33.370000, vol = 416672
2022-09-08 15:26:00  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:02  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:04  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
